Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"0,00","0,00","0,00","1,04"
"19,96","0,00","0,04","2,23"
"19,22","0,05","0,82","3,34"
"19,98","0,05","0,85","4,44"
"20,07","0,05","0,78","5,57"
"19,43","0,08","1,35","6,63"
"20,17","0,09","1,18","7,68"
"19,53","0,11","1,65","8,72"
"21,36","0,19","0,28","9,86"
"20,18","0,19","0,10","10,97"
"19,32","0,22","0,78","12,20"
"19,69","0,23","1,09","13,41"
"20,77","0,26","0,32","14,70"
"19,20","0,29","1,13","15,85"
"19,87","0,28","1,26","16,98"
"19,85","0,28","1,41","18,14"
"20,00","0,26","1,41","19,22"
"20,97","0,30","0,43","20,39"
"19,60","0,31","0,84","21,57"
"19,65","0,31","1,19","22,74"
"20,14","0,30","1,05","23,90"
"20,00","0,28","1,05","24,96"
"19,55","0,29","1,50","25,98"
"21,22","0,35","0,28","26,92"
"18,56","0,42","1,73","27,90"
"20,25","0,41","1,48","28,90"
"20,55","0,42","0,92","29,88"
"20,48","0,42","0,45","30,86"
"19,31","0,44","1,13","31,98"
"19,32","0,45","1,81","33,04"
"20,58","0,46","1,24","34,07"
"19,52","0,46","1,71","35,04"
"20,49","0,46","1,22","36,06"
"20,11","0,44","1,11","37,09"
"19,80","0,43","1,31","38,07"
"19,80","0,41","1,52","39,06"
"20,27","0,40","1,24","40,22"
"19,80","0,39","1,44","41,26"
"19,29","0,41","2,16","42,36"
"20,41","0,41","1,74","43,45"
"20,21","0,40","1,53","44,63"
"20,43","0,40","1,11","45,79"
"19,20","0,43","1,91","46,97"
"20,48","0,43","1,43","48,14"
"20,91","0,46","0,52","49,39"
"19,79","0,44","0,72","50,58"
"20,39","0,44","0,33","51,71"
"19,74","0,43","0,59","52,86"
"20,61","0,44","-0,02","54,06"
"18,52","0,51","1,47","55,17"
"20,45","0,50","1,02","56,28"
"20,30","0,49","0,72","56,36"
"18,72","0,54","2,00","56,21"
"20,67","0,55","1,33","56,10"
"20,12","0,52","1,21","56,08"
"19,32","0,53","1,89","56,02"
"20,60","0,53","1,29","56,02"
"19,73","0,52","1,56","54,98"
"19,61","0,51","1,94","56,00"
"21,29","0,56","0,65","55,90"
"19,53","0,55","1,12","55,93"
"20,04","0,52","1,08","54,66"
"19,77","0,50","1,31","55,81"
"21,27","0,55","0,04","54,50"
"18,54","0,61","1,50","55,62"
"20,62","0,61","0,89","54,46"
"19,75","0,58","1,14","54,44"
"19,67","0,57","1,46","55,55"
"20,64","0,57","0,83","54,31"
"19,82","0,55","1,00","54,14"
"19,63","0,54","1,37","55,14"
"20,58","0,54","0,79","53,91"
"19,82","0,52","0,97","53,90"
"20,20","0,50","0,77","55,02"
"19,17","0,52","1,60","54,25"
"10,93","1,05","10,67","55,35"
"28,80","1,54","1,87","55,50"
"20,98","1,50","0,90","55,59"
"19,61","1,43","1,28","55,66"
"10,24","1,95","11,04","55,62"
"39,73","3,06","-8,69","54,62"
"11,60","3,40","-0,29","54,68"
"29,81","3,80","-10,10","54,88"
"0,02","4,81","9,88","56,01"
"29,09","5,08","0,80","55,06"
"29,63","5,36","-8,84","55,18"
"19,35","5,07","-8,19","55,19"
"10,19","5,36","1,62","56,34"
"21,38","5,11","0,25","55,39"
"28,85","5,35","-8,61","55,43"
"19,74","5,03","-8,35","55,30"
"9,97","5,34","1,68","56,44"
"21,34","5,09","0,34","55,29"
"29,31","5,36","-8,97","55,25"
"20,43","5,05","-9,40","55,16"
"9,97","5,36","0,63","55,11"
"18,74","5,10","1,89","56,21"
"30,10","5,42","-8,21","54,90"
"21,03","5,14","-9,24","54,74"
"9,76","5,46","1,00","54,74"
"20,84","5,17","0,16","54,74"
"18,81","4,92","1,34","56,06"
"31,26","5,32","-9,91","55,09"
"9,37","5,65","0,72","55,22"
"19,76","5,31","0,95","55,35"
"20,85","5,03","0,10","55,44"
"28,63","5,26","-8,52","55,46"
"10,40","5,53","1,07","55,54"
"19,58","5,21","1,49","55,70"
"20,82","4,93","0,67","56,87"
"29,24","5,20","-8,57","55,86"
"9,89","5,51","1,54","57,03"
"21,33","5,25","0,21","55,90"
"19,85","4,93","0,35","57,12"
"29,43","5,21","-9,07","56,12"
"10,63","5,47","0,30","56,20"
"19,57","5,16","0,72","56,30"
"20,03","4,84","0,69","56,34"
"28,98","5,09","-8,29","56,37"
"10,75","5,35","0,96","56,58"
"19,33","5,06","1,63","57,77"
"21,00","4,81","0,63","56,91"
"29,49","5,10","-8,85","57,02"
"10,99","5,34","0,15","57,02"
"19,17","5,06","0,98","56,99"
"20,76","4,79","0,23","57,01"
"29,42","5,08","-9,20","57,06"
"9,66","5,41","1,15","58,16"
"19,91","5,08","1,23","57,14"
"19,84","4,77","1,39","57,20"
"30,22","5,11","-8,83","57,26"
"10,14","5,41","1,03","58,50"
"19,95","5,07","1,08","58,66"
"19,90","4,76","1,18","57,49"
"30,19","5,10","-9,01","57,61"
"10,25","5,39","0,73","58,80"
"19,83","5,07","0,90","58,90"
"20,33","4,77","0,56","57,82"
"18,81","4,55","1,76","59,04"
"20,31","4,28","1,45","59,01"
"20,20","4,03","1,25","58,99"
"19,63","3,80","1,62","57,93"
"20,72","3,61","0,90","59,14"
"19,32","3,42","1,57","59,04"
"20,91","3,27","0,66","59,04"
"19,81","3,07","0,86","59,08"
"20,41","2,91","0,44","58,07"
"19,09","2,78","1,35","59,29"
"21,03","2,67","0,31","59,54"
"19,37","2,55","0,95","58,59"
"19,77","2,40","1,18","59,80"
"20,14","2,26","1,04","58,54"
"19,72","2,14","1,33","59,72"
"19,88","2,01","1,45","59,76"
"20,54","1,92","0,91","58,59"
"19,49","1,83","1,41","59,80"
"20,31","1,73","1,10","59,81"
"19,59","1,65","1,51","59,90"
"20,01","1,55","1,50","59,95"
"20,63","1,49","0,87","60,00"
"19,46","1,43","1,40","60,06"
"20,58","1,38","0,82","58,84"
"19,89","1,30","0,93","60,02"
"20,12","1,23","0,82","60,02"
"19,83","1,16","0,98","59,97"
"20,18","1,10","0,80","59,81"
"19,52","1,06","1,28","59,66"
"19,52","1,02","1,76","59,59"
"20,33","0,98","1,43","59,57"
"20,22","0,93","1,21","59,50"
"19,75","0,89","1,46","58,21"
"20,55","0,87","0,91","59,30"
"19,94","0,82","0,97","59,26"
"19,98","0,77","0,99","59,26"
"19,80","0,73","1,19","59,16"
"19,74","0,70","1,45","59,06"
"20,41","0,68","1,04","58,94"
"19,91","0,65","1,13","57,66"
"19,88","0,61","1,25","58,68"
"21,16","0,65","0,09","57,55"
"18,66","0,69","1,42","58,64"
"20,62","0,69","0,81","57,37"
"20,47","0,67","0,34","57,28"
"19,28","0,68","1,06","57,19"
"19,70","0,65","1,36","58,20"
"20,78","0,66","0,58","56,82"
"19,69","0,64","0,89","56,60"
"19,90","0,60","0,99","57,59"
"20,05","0,57","0,94","56,18"
"19,34","0,58","1,60","57,15"
"21,18","0,61","0,42","55,90"
"19,38","0,61","1,04","55,84"
"20,36","0,60","0,69","55,70"
"20,73","0,61","-0,04","55,77"
"19,25","0,61","0,71","56,83"
"19,74","0,59","0,97","56,74"
"19,46","0,59","1,51","56,66"
"19,44","0,59","2,06","56,44"
"21,29","0,63","0,77","56,32"
"21,87","0,71","-1,10","55,06"
"17,64","0,81","1,26","56,17"
"20,20","0,77","1,06","56,07"
"18,85","0,80","2,21","55,98"
"21,22","0,82","0,99","54,67"
"20,19","0,78","0,81","54,52"
"19,66","0,76","1,15","54,41"
"19,89","0,72","1,25","55,60"
"19,75","0,69","1,51","54,40"
"20,73","0,69","0,78","54,32"
"20,40","0,67","0,38","54,23"
"18,28","0,74","2,09","55,36"
"20,49","0,72","1,60","55,29"
"20,12","0,68","1,48","55,28"
"19,66","0,66","1,83","55,23"
"20,65","0,66","1,18","55,28"
"19,78","0,63","1,40","55,27"
"20,72","0,64","0,68","54,26"
"20,07","0,60","0,61","54,32"
"19,83","0,58","0,78","54,37"
"22,03","0,67","-1,25","54,46"
"17,44","0,79","1,31","54,53"
"20,25","0,75","1,06","55,70"
"19,88","0,71","1,18","55,70"
"19,71","0,69","1,47","55,70"
"21,19","0,72","0,28","54,64"
"18,47","0,77","1,81","55,66"
"21,04","0,79","0,77","54,57"
"20,37","0,76","0,39","54,74"
"18,78","0,79","1,61","55,94"
"20,64","0,78","0,98","56,05"
"20,07","0,73","0,91","55,01"
"20,03","0,69","0,88","56,23"
"22,33","0,79","-1,45","55,29"
"17,79","0,88","0,76","55,44"
"20,53","0,86","0,22","55,67"
"19,00","0,87","1,23","56,90"
"20,35","0,84","0,88","56,17"
"19,97","0,79","0,91","56,42"
"20,07","0,74","0,84","56,62"
"11,09","1,25","9,75","57,82"
"28,28","1,69","1,47","58,07"
"20,60","1,62","0,86","57,17"
"19,94","1,53","0,92","58,34"
"10,12","2,05","10,80","58,48"
"30,59","2,58","0,21","57,41"
"18,70","2,50","1,51","58,52"
"20,95","2,40","0,56","57,47"
"20,80","2,30","-0,24","57,62"
"29,89","2,78","-10,13","57,67"
"9,71","3,25","0,16","58,82"
"19,91","3,05","0,25","57,71"
"19,81","2,87","0,44","57,85"
"19,95","2,69","0,49","57,96"
"29,59","3,13","-9,10","58,03"
"20,46","2,96","-9,57","58,24"
"9,87","3,41","0,57","58,29"
"20,32","3,21","0,24","58,20"
"29,59","3,61","-9,35","58,22"
"20,13","3,40","-9,48","58,21"
"9,55","3,84","0,97","59,33"
"20,44","3,62","0,54","58,20"
"18,80","3,47","1,73","59,30"
"30,74","3,93","-9,00","58,15"
"10,24","4,29","0,76","58,25"
"19,05","4,08","1,71","59,42"
"20,85","3,88","0,86","58,20"
"31,22","4,34","-10,36","58,30"
"8,07","4,81","1,57","59,54"
"21,05","4,58","0,52","58,45"
"20,14","4,30","0,38","59,60"
"29,43","4,62","-9,06","58,42"
"10,42","4,93","0,52","58,45"
"19,64","4,65","0,88","58,60"
"19,45","4,39","1,43","58,68"
"30,09","4,75","-8,67","58,76"
"10,16","5,06","1,18","58,94"
"20,13","4,76","1,04","60,15"
"20,90","4,52","0,14","59,22"
"29,29","4,81","-9,14","59,19"
"10,40","5,11","0,46","59,24"
"19,32","4,84","1,14","60,38"
"19,97","4,53","1,17","60,36"
"31,27","4,96","-10,11","59,10"
"8,94","5,34","0,95","60,22"
"20,30","5,02","0,65","60,07"
"20,60","4,75","0,05","58,72"
"19,27","4,50","0,78","58,59"
"20,14","4,22","0,63","58,46"
"19,84","3,97","0,79","58,34"
"20,13","3,73","0,66","58,25"
"19,39","3,53","1,27","58,12"
"19,56","3,34","1,70","59,30"
"21,08","3,20","0,62","58,10"
"18,93","3,07","1,69","58,06"
"20,89","2,93","0,81","59,29"
"19,66","2,77","1,15","58,27"
"20,50","2,63","0,65","59,49"
"19,95","2,47","0,70","59,58"
"20,29","2,33","0,41","59,58"
"19,14","2,24","1,27","59,58"
"20,72","2,14","0,55","59,61"
"19,71","2,03","0,85","59,66"
"20,59","1,94","0,26","58,45"
"19,23","1,86","1,03","59,62"
"19,71","1,77","1,32","59,55"
"20,01","1,66","1,30","59,50"
"20,07","1,56","1,24","59,50"
"20,63","1,50","0,61","59,54"
"20,34","1,43","0,27","59,54"
"19,78","1,35","0,49","58,50"
"20,16","1,28","0,33","58,59"
"19,07","1,25","1,27","58,66"
"20,16","1,19","1,11","59,82"
"20,03","1,11","1,08","59,89"
"20,17","1,06","0,90","58,62"
"19,85","1,00","1,05","59,86"
"20,16","0,95","0,88","59,86"
"19,66","0,91","1,23","58,50"
"20,15","0,86","1,08","59,66"
"19,81","0,82","1,27","59,59"
"20,38","0,79","0,89","59,57"
"19,44","0,78","1,45","59,63"
"19,59","0,75","1,86","59,62"
"21,01","0,77","0,85","58,34"
"20,79","0,77","0,06","59,50"
"18,54","0,81","1,52","59,50"
"20,86","0,82","0,66","58,29"
"21,72","0,87","-1,06","58,34"
"17,96","0,95","0,98","59,53"
"19,63","0,91","1,35","59,53"
"20,15","0,86","1,20","59,54"
"19,70","0,83","1,50","59,55"
"20,87","0,83","0,63","59,55"
"20,43","0,81","0,20","58,38"
"19,40","0,79","0,80","59,57"
"19,53","0,77","1,26","59,66"
"20,49","0,75","0,78","59,67"
"20,26","0,72","0,52","58,51"
"19,24","0,73","1,27","59,51"
"19,84","0,69","1,43","59,39"
"20,17","0,66","1,27","58,28"
"20,29","0,63","0,98","58,15"
"19,64","0,62","1,33","59,21"
"20,29","0,60","1,05","58,05"
"19,81","0,57","1,24","59,24"
"19,74","0,55","1,50","59,15"
"20,77","0,57","0,73","59,05"
"18,90","0,60","1,83","58,90"
"20,91","0,62","0,92","58,78"
"19,99","0,58","0,93","57,50"
"19,47","0,58","1,46","58,56"
"20,11","0,55","1,35","58,39"
"19,74","0,53","1,62","58,19"
"20,25","0,51","1,36","58,01"
"19,68","0,50","1,69","57,86"
"20,80","0,52","0,89","56,66"
"20,36","0,51","0,53","56,54"
"19,77","0,49","0,77","57,62"
"19,93","0,47","0,83","57,69"
"20,12","0,44","0,71","57,74"
"19,51","0,45","1,21","57,68"
"19,92","0,42","1,29","57,66"
"20,32","0,42","0,97","56,57"
"20,90","0,45","0,07","56,56"
"19,58","0,45","0,49","56,57"
"19,31","0,46","1,18","57,71"
"20,76","0,48","0,42","56,43"
"24,04","0,70","-3,62","56,39"
"15,51","0,94","0,87","56,34"
"19,87","0,89","1,00","56,30"
"20,03","0,83","0,96","57,56"
"19,83","0,79","1,14","56,44"
"20,79","0,79","0,34","56,46"
"19,19","0,79","1,16","57,70"
"19,60","0,77","1,56","57,73"
"10,23","1,33","11,33","57,78"
"30,82","1,93","0,51","56,63"
"18,90","1,87","1,61","57,80"
"20,61","1,79","1,00","57,74"
"10,43","2,28","10,57","57,67"
"28,99","2,70","1,59","57,66"
"30,66","3,20","-9,07","56,48"
"10,32","3,60","0,61","56,48"
"20,14","3,39","0,47","57,62"
"20,72","3,22","-0,25","56,44"
"30,01","3,64","-10,26","56,43"
"18,95","3,48","-9,21","56,41"
"10,28","3,87","0,51","56,50"
"20,22","3,64","0,28","56,72"
"29,43","4,01","-9,15","56,88"
"10,23","4,37","0,63","56,91"
"19,22","4,14","1,41","58,17"
"19,79","3,90","1,61","58,27"
"30,31","4,30","-8,70","57,20"
"20,05","4,03","-8,74","57,16"
"10,08","4,40","1,17","57,10"
"20,71","4,17","0,47","57,17"
"29,28","4,49","-8,82","57,22"
"19,43","4,24","-8,25","57,23"
"10,11","4,60","1,65","58,34"
"21,13","4,38","0,52","57,35"
"19,19","4,16","1,33","57,47"
"30,26","4,54","-8,93","57,69"
"11,46","4,79","-0,39","57,86"
"18,87","4,56","0,74","58,04"
"20,00","4,27","0,74","58,13"
"30,14","4,64","-9,41","58,21"
"9,46","5,01","1,14","59,36"
"20,12","4,70","1,02","59,46"
"20,68","4,45","0,33","58,17"
"30,19","4,81","-9,86","58,13"
"9,48","5,17","0,65","58,10"
"20,32","4,87","0,34","58,11"
"19,86","4,57","0,48","59,31"
"29,65","4,89","-9,17","58,19"
"9,01","5,27","1,83","59,36"
"20,86","4,99","0,97","59,42"
"20,41","4,71","0,55","59,50"
"29,60","5,01","-9,05","58,51"
"10,49","5,29","0,46","58,62"
"19,69","4,98","0,77","58,54"
"19,74","4,69","1,03","58,49"
"30,25","5,04","-9,22","58,44"
"9,20","5,40","1,58","59,68"
"20,67","5,10","0,91","58,55"
"20,02","4,78","0,89","58,54"
"29,73","5,09","-8,84","58,54"
"11,13","5,33","0,03","58,61"
"19,27","5,04","0,76","58,61"
"19,68","4,75","1,08","58,69"
"31,06","5,14","-9,98","58,73"
"9,11","5,50","0,91","59,93"
"19,58","5,18","1,33","59,95"
"20,03","4,86","1,30","60,02"
"30,66","5,22","-9,35","58,84"
"9,39","5,56","1,26","60,06"
"20,60","5,25","0,65","60,06"
"20,02","4,92","0,63","60,13"
"29,98","5,24","-9,35","58,94"
"9,50","5,57","1,16","60,09"
"20,86","5,27","0,30","58,94"
"19,00","5,01","1,30","58,81"
"31,07","5,39","-9,78","58,77"
"10,31","5,65","-0,09","59,87"
"18,79","5,38","1,12","59,84"
"19,53","5,07","1,59","59,78"
"29,98","5,38","-8,38","58,63"
"10,28","5,65","1,34","59,77"
"19,55","5,32","1,80","59,80"
"20,68","5,03","1,12","58,70"
"30,29","5,36","-9,17","58,67"
"8,98","5,72","1,85","59,74"
"20,79","5,41","1,07","59,78"
"20,12","5,08","0,95","59,66"
"30,58","5,42","-9,63","58,41"
"9,45","5,74","0,93","59,55"
"20,54","5,42","0,39","59,53"
"19,78","5,09","0,60","58,41"
"19,29","4,82","1,31","59,54"
"20,44","4,54","0,87","59,48"
"20,57","4,30","0,29","59,62"
"19,28","4,07","1,02","59,73"
"20,10","3,82","0,91","59,74"
"19,82","3,60","1,09","59,69"
"20,17","3,38","0,92","59,68"
"19,98","3,17","0,94","58,50"
"20,30","2,99","0,64","58,46"
"20,54","2,84","0,10","58,41"
"19,07","2,72","1,03","59,53"
"19,85","2,56","1,18","59,45"
"21,01","2,46","0,17","58,18"
"19,27","2,35","0,91","58,13"
"19,89","2,21","1,01","59,23"
"20,34","2,10","0,67","57,94"
"20,09","1,97","0,58","57,77"
"19,25","1,90","1,33","58,82"
"20,36","1,80","0,97","58,73"
"20,94","1,75","0,03","58,63"
"18,68","1,72","1,35","58,43"
"21,58","1,71","-0,23","57,18"
"18,69","1,69","1,08","58,29"
"19,79","1,59","1,29","58,18"
"19,84","1,50","1,45","58,10"
"20,31","1,43","1,14","56,85"
"19,87","1,35","1,27","57,91"
"21,11","1,33","0,16","56,61"
"18,29","1,36","1,87","57,67"
"20,99","1,33","0,88","57,62"
"20,60","1,29","0,28","57,67"
"19,69","1,23","0,58","56,46"
"20,10","1,16","0,49","57,58"
"19,62","1,11","0,86","56,52"
"19,53","1,07","1,33","57,59"
"20,72","1,05","0,61","57,57"
"20,53","1,01","0,07","56,50"
"19,67","0,97","0,41","56,54"
"19,56","0,94","0,84","57,65"
,,,
,,,
Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"0,00","0,00","0,00","1,04"
"24,06","0,25","-4,06","2,23"
"18,45","0,34","-2,51","3,34"
"25,55","0,66","-8,06","4,44"
