Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps),,Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
0,285265843,"0,00","0,00","0,00","1,02",,0,285265843,"0,00","0,00","0,00","1,02"
1,285266803,"21,33","0,08","-1,33","2,16",,1,285266803,"21,23","0,08","-1,23","2,16"
2,285267763,"8,58","0,79","10,10","3,32",,2,285267763,"28,65","0,61","-9,88","3,32"
3,285268723,"30,86","1,42","-0,76","4,49",,3,285268723,"5,11","1,51","5,01","4,49"
4,285269683,"8,92","2,02","10,32","5,65",,4,285269683,"9,28","2,08","15,73","5,65"
5,285270643,"19,89","1,90","10,42","6,67",,5,285270643,"42,67","3,37","-6,93","6,67"
6,285271603,"29,50","2,38","0,93","7,74",,6,285271603,"26,19","3,54","-13,13","7,74"
7,285272563,"20,08","2,24","0,85","8,77",,7,285272563,"0,25","4,56","6,63","8,77"
8,285273523,"21,30","2,18","-0,45","9,82",,8,285273523,"50,86","6,20","-24,23","9,82"
9,285274483,"8,98","2,73","10,57","10,90",,9,285274483,"0,99","7,00","-5,22","10,90"
10,285275443,"20,33","2,58","10,24","11,98",,10,285275443,"5,72","7,46","9,06","11,98"
11,285276403,"29,77","3,03","0,47","13,06",,11,285276403,"25,29","7,32","3,77","13,06"
12,285277363,"11,19","3,39","9,28","14,10",,12,285277363,"15,29","7,16","8,48","14,10"
13,285278323,"19,10","3,23","10,18","15,13",,13,285278323,"17,95","6,84","10,53","15,13"
14,285279283,"31,01","3,72","-0,82","16,11",,14,285279283,"33,22","7,24","-2,69","16,11"
15,285280243,"0,02","4,74","19,16","17,16",,16,285281203,"28,14","7,53","9,17","17,15"
16,285281203,"39,15","5,64","0,01","18,20",,17,285282163,"46,38","8,71","-17,21","18,14"
17,285282163,"19,25","5,33","0,76","19,18",,18,285283123,"23,94","8,41","-21,15","19,15"
18,285283123,"19,91","5,00","0,85","20,20",,19,285284083,"6,12","8,75","-7,27","20,15"
19,285284083,"9,83","5,33","11,03","21,20",,20,285285043,"27,95","8,70","-15,22","21,16"
20,285285043,"30,68","5,66","0,34","22,21",,21,285286003,"2,46","9,25","2,32","22,19"
21,285286003,"19,91","5,31","0,44","23,24",,22,285286963,"38,99","9,86","-16,67","23,20"
22,285286963,"19,90","4,99","0,54","24,25",,23,285287923,"1,43","10,41","1,90","24,22"
23,285287923,"10,22","5,29","10,32","25,26",,24,285288883,"20,89","9,81","1,01","25,29"
24,285288883,"30,37","5,61","-0,05","26,34",,25,285289843,"9,84","9,83","11,17","26,34"
25,285289843,"19,71","5,27","0,25","27,39",,26,285290803,"23,67","9,45","7,50","27,42"
26,285290803,"20,17","4,96","0,08","28,46",,27,285291763,"41,56","10,20","-14,06","28,44"
27,285291763,"9,39","5,31","10,68","29,49",,28,285292723,"21,14","9,64","-15,20","29,50"
28,285292723,"29,97","5,60","0,71","30,54",,29,285293683,"0,00","10,29","4,80","30,49"
29,285293683,"20,28","5,27","0,43","31,54",,30,285294643,"14,45","9,99","10,34","31,52"
30,285294643,"19,43","4,97","1,00","32,57",,31,285295603,"29,22","9,94","1,13","32,58"
31,285295603,"10,09","5,28","10,91","33,63",,32,285296563,"14,11","9,69","7,02","33,66"
32,285296563,"30,91","5,63","0,00","34,71",,33,285297523,"46,91","10,76","-19,89","34,74"
33,285297523,"20,40","5,31","-0,40","35,79",,35,285299443,"31,12","10,65","-11,01","35,86"
34,285298483,"8,99","5,66","10,61","36,87",,36,285300403,"17,14","10,16","-8,15","37,04"
35,285299443,"20,93","5,37","9,68","37,98",,37,285301363,"21,21","9,60","-9,35","38,04"
36,285300403,"19,71","5,05","9,97","39,17",,38,285302323,"3,02","10,06","7,63","39,10"
37,285301363,"19,24","4,78","10,72","40,17",,39,285303283,"17,97","9,56","9,65","40,14"
38,285302323,"20,68","4,52","10,05","41,22",,40,285304243,"51,37","10,92","-21,72","41,28"
39,285303283,"18,96","4,31","11,08","42,27",,41,285305203,"0,00","11,49","-1,72","42,44"
40,285304243,"31,22","4,74","-0,13","43,41",,42,285306163,"3,59","11,80","14,69","43,58"
41,285305203,"8,92","5,13","10,94","44,57",,43,285307123,"33,21","11,89","1,48","44,69"
42,285306163,"20,74","4,86","10,20","45,70",,45,285309043,"40,33","11,16","1,15","45,79"
43,285307123,"29,78","5,17","0,42","46,82",,46,285310003,"33,12","11,29","-11,97","46,92"
44,285308083,"11,58","5,37","8,84","47,93",,47,285310963,"27,44","11,05","-19,41","48,11"
45,285309043,"29,19","5,61","-0,35","49,03",,48,285311923,"3,92","11,36","-3,33","49,24"
46,285310003,"18,99","5,32","0,66","50,16",,49,285312883,"32,68","11,44","-16,01","50,38"
47,285310963,"21,25","5,07","-0,59","51,35",,50,285313843,"15,96","10,98","-11,96","50,46"
48,285311923,"9,55","5,40","9,86","52,48",,51,285314803,"10,84","10,87","-2,80","50,43"
49,285312883,"20,14","5,07","9,72","53,62",,52,285315763,"8,10","10,93","9,10","51,56"
50,285313843,"18,57","4,85","11,14","54,73",,53,285316723,"29,54","10,84","-0,44","50,33"
51,285314803,"20,78","4,59","10,36","54,81",,54,285317683,"7,03","10,98","12,52","50,34"
52,285315763,"20,10","4,31","10,26","54,80",,55,285318643,"42,56","11,70","-10,03","50,42"
53,285316723,"19,59","4,07","10,67","54,74",,56,285319603,"20,21","10,98","-10,25","51,58"
54,285317683,"19,67","3,83","11,00","54,74",,57,285320563,"0,00","11,55","9,75","52,61"
55,285318643,"20,27","3,61","10,72","54,68",,58,285321523,"42,78","12,25","-13,02","51,57"
56,285319603,"20,24","3,40","10,49","54,82",,59,285322483,"12,93","11,92","-5,95","50,46"
57,285320563,"19,48","3,22","11,01","54,78",,60,285323443,"24,02","11,43","-9,98","50,42"
58,285321523,"20,36","3,04","10,65","54,81",,61,285324403,"0,00","11,97","10,02","51,50"
59,285322483,"20,77","2,90","9,88","53,70",,63,285326323,"46,13","11,60","3,89","49,51"
60,285323443,"20,37","2,74","9,51","53,66",,64,285327283,"36,51","11,91","-12,62","49,65"
61,285324403,"18,80","2,64","10,71","54,74",,65,285328243,"17,39","11,33","-10,01","50,82"
62,285325363,"21,23","2,56","9,48","54,80",,66,285329203,"8,05","11,37","1,94","50,90"
63,285326323,"28,72","2,94","0,76","53,89",,67,285330163,"27,43","11,12","-5,49","52,02"
64,285327283,"21,43","2,85","-0,68","55,01",,68,285331123,"34,85","11,35","-20,34","52,22"
65,285328243,"9,04","3,35","10,28","54,14",,69,285332083,"13,59","11,04","-13,92","51,34"
66,285329203,"29,76","3,75","0,53","55,26",,70,285333043,"27,47","10,82","-21,39","50,44"
67,285330163,"10,61","4,11","9,91","55,34",,71,285334003,"6,58","10,98","-7,97","51,61"
68,285331123,"29,43","4,44","0,48","54,53",,72,285334963,"34,74","11,22","-22,70","50,70"
69,285332083,"19,94","4,17","0,54","54,66",,73,285335923,"20,70","10,56","-23,40","50,79"
70,285333043,"20,51","3,94","0,04","54,80",,74,285336883,"20,12","9,91","-23,53","50,89"
71,285334003,"9,19","4,37","10,85","55,97",,75,285337843,"0,56","10,50","-4,09","52,02"
72,285334963,"30,20","4,73","0,65","56,05",,76,285338803,"1,89","10,98","14,03","53,12"
73,285335923,"20,36","4,46","0,29","55,19",,77,285339763,"60,83","12,85","-26,81","52,17"
74,285336883,"19,90","4,19","0,39","56,34",,78,285340723,"9,40","12,70","-16,21","51,26"
75,285337843,"11,20","4,47","9,18","56,41",,79,285341683,"0,00","13,16","3,79","52,42"
76,285338803,"19,91","4,20","9,28","56,45",,81,285343603,"36,81","12,54","6,98","52,58"
77,285339763,"29,19","4,51","0,08","55,50",,82,285344563,"25,93","12,12","1,05","51,61"
78,285340723,"19,41","4,27","0,67","55,58",,83,285345523,"5,10","12,30","15,94","52,75"
79,285341683,"10,22","4,61","10,45","56,74",,84,285346483,"56,38","13,80","-20,43","52,78"
80,285342643,"29,66","4,93","0,79","55,90",,85,285347443,"18,36","13,04","-18,79","52,81"
81,285343603,"20,72","4,66","0,08","56,03",,86,285348403,"27,15","12,67","-25,95","52,74"
82,285344563,"20,04","4,37","0,03","57,20",,87,285349363,"0,21","13,12","-6,16","53,82"
83,285345523,"9,44","4,76","10,59","57,26",,88,285350323,"11,39","12,84","2,45","52,86"
84,285346483,"30,77","5,14","-0,18","56,21",,89,285351283,"17,94","12,16","4,51","52,98"
85,285347443,"18,98","4,88","0,84","56,24",,90,285352243,"19,46","11,44","5,05","54,14"
86,285348403,"21,27","4,65","-0,43","56,17",,91,285353203,"12,82","11,17","12,23","55,28"
87,285349363,"9,82","5,00","9,75","56,25",,92,285354163,"38,35","11,62","-6,12","53,01"
88,285350323,"29,60","5,29","0,15","56,30",,93,285355123,"34,37","11,79","-20,49","53,10"
89,285351283,"20,40","4,98","-0,25","56,42",,94,285356083,"2,87","12,12","-3,37","54,27"
90,285352243,"19,66","4,69","0,10","57,58",,95,285357043,"3,73","12,38","12,90","55,33"
91,285353203,"9,78","5,04","10,32","56,42",,96,285358003,"28,58","12,15","4,33","55,34"
92,285354163,"20,48","4,75","9,84","56,44",,97,285358963,"36,77","12,44","-12,44","55,32"
93,285355123,"30,63","5,12","-0,79","56,53",,98,285359923,"2,46","12,75","5,09","56,46"
94,285356083,"9,07","5,48","10,14","57,70",,99,285360883,"16,76","12,16","8,34","55,24"
95,285357043,"10,64","5,73","19,50","57,65",,100,285361843,"47,24","13,10","-18,90","54,05"
96,285358003,"39,43","6,58","0,07","56,54",,101,285362803,"3,15","13,34","-2,05","55,10"
97,285358963,"19,83","6,18","0,24","57,64",,102,285363763,"45,12","14,07","-27,17","52,86"
98,285359923,"19,51","5,83","0,73","56,46",,103,285364723,"2,23","14,30","-9,40","52,79"
99,285360883,"9,81","6,10","10,92","57,56",,104,285365683,"0,48","14,63","10,13","53,90"
100,285361843,"30,13","6,35","0,78","56,37",,105,285366643,"23,15","13,91","6,98","55,06"
101,285362803,"19,80","5,97","0,98","56,32",,106,285367603,"18,18","13,16","8,79","55,10"
102,285363763,"21,21","5,67","-0,22","56,28",,108,285369523,"32,75","12,79","16,05","54,07"
103,285364723,"9,03","6,00","10,74","57,38",,109,285370483,"57,83","14,35","-21,78","53,20"
104,285365683,"30,23","6,26","0,51","56,22",,110,285371443,"0,06","14,70","-1,84","54,45"
105,285366643,"20,43","5,90","0,09","56,28",,111,285372403,"3,88","14,79","14,28","55,60"
106,285367603,"19,63","5,55","0,46","56,26",,112,285373363,"36,16","14,88","-1,88","54,63"
107,285368563,"10,71","5,79","9,75","56,36",,113,285374323,"42,11","15,33","-23,99","54,62"
108,285369523,"20,51","5,46","9,24","56,46",,114,285375283,"0,11","15,61","-4,10","55,78"
109,285370483,"29,33","5,70","-0,09","56,65",,115,285376243,"30,95","15,32","-15,05","54,67"
110,285371443,"19,90","5,35","0,01","56,86",,116,285377203,"17,38","14,53","-12,43","54,70"
111,285372403,"10,57","5,60","9,44","56,93",,117,285378163,"2,17","14,73","5,40","55,80"
112,285373363,"18,66","5,34","10,78","58,08",,118,285379123,"46,89","15,49","-21,49","54,67"
113,285374323,"30,27","5,65","0,51","56,93",,119,285380083,"2,44","15,62","-3,93","55,75"
114,285375283,"19,89","5,30","0,62","58,09",,120,285381043,"27,16","15,09","-11,09","55,74"
115,285376243,"10,06","5,59","10,56","58,15",,122,285382963,"44,47","14,43","-15,56","54,53"
116,285377203,"20,82","5,29","9,75","58,13",,123,285383923,"4,68","14,49","-0,24","55,54"
117,285378163,"29,18","5,53","0,57","56,99",,124,285384883,"4,12","14,57","15,64","55,48"
118,285379123,"19,36","5,23","1,21","58,17",,125,285385843,"38,94","14,85","-3,30","55,36"
119,285380083,"11,10","5,46","10,11","58,06",,126,285386803,"11,95","14,42","4,75","53,01"
120,285381043,"19,93","5,12","10,18","58,05",,127,285387763,"10,61","14,11","14,14","54,01"
121,285382003,"29,67","5,41","0,51","56,88",,128,285388723,"40,24","14,49","-6,10","55,02"
122,285382963,"19,78","5,08","0,73","57,98",,129,285389683,"29,63","14,19","-15,72","52,58"
123,285383923,"9,93","5,39","10,81","57,89",,130,285390643,"24,41","13,57","-20,13","52,42"
124,285384883,"19,59","5,08","11,21","57,77",,131,285391603,"0,11","13,97","-0,24","53,52"
125,285385843,"30,81","5,44","0,40","56,53",,132,285392563,"33,08","13,91","-13,32","52,34"
126,285386803,"19,77","5,11","0,63","56,46",,133,285393523,"2,94","14,11","3,74","53,43"
127,285387763,"10,03","5,42","10,61","57,46",,134,285394483,"25,72","13,59","-1,97","54,57"
128,285388723,"19,73","5,10","10,88","57,33",,135,285395443,"8,37","13,46","9,66","55,69"
129,285389683,"29,93","5,40","0,95","56,04",,137,285397363,"34,55","12,96","15,11","54,57"
130,285390643,"21,43","5,15","-0,48","55,89",,138,285398323,"31,43","12,87","3,68","53,39"
131,285391603,"8,97","5,52","10,54","56,99",,139,285399283,"12,18","12,55","11,51","53,37"
132,285392563,"19,69","5,19","10,86","56,93",,140,285400243,"19,94","11,77","11,56","53,26"
133,285393523,"30,63","5,53","0,23","55,70",,141,285401203,"37,68","12,14","-6,12","52,02"
134,285394483,"19,98","5,19","0,24","56,84",,143,285403123,"16,89","12,83","16,99","53,18"
135,285395443,"10,16","5,48","10,08","56,86",,144,285404083,"28,55","12,56","8,44","53,07"
136,285396403,"20,54","5,17","9,55","56,89",,145,285405043,"35,58","12,75","-7,14","50,73"
137,285397363,"19,01","4,91","10,54","56,90",,146,285406003,"25,01","12,26","-12,15","50,66"
138,285398323,"30,09","5,23","0,45","56,84",,147,285406963,"19,44","11,53","-11,59","51,74"
139,285399283,"10,48","5,50","9,97","56,82",,148,285407923,"19,75","10,83","-11,34","50,49"
140,285400243,"20,79","5,21","9,18","56,70",,149,285408883,"0,21","11,39","8,45","51,55"
141,285401203,"18,98","4,94","10,20","55,47",,150,285409843,"41,79","12,04","-13,34","51,56"
142,285402163,"29,27","5,21","0,93","55,32",,151,285410803,"8,22","12,02","-1,56","51,60"
143,285403123,"10,45","5,49","10,48","56,47",,152,285411763,"4,53","12,24","13,91","51,60"
144,285404083,"21,23","5,22","9,26","55,15",,153,285412723,"22,46","11,63","11,45","52,62"
145,285405043,"18,22","5,00","11,03","55,18",,154,285413683,"50,94","12,83","-19,48","49,25"
146,285406003,"30,66","5,36","0,38","56,24",,155,285414643,"10,06","12,65","-9,55","50,38"
147,285406963,"9,91","5,65","10,47","56,19",,156,285415603,"26,82","12,29","-16,36","50,44"
148,285407923,"20,14","5,31","10,33","56,09",,157,285416563,"12,66","11,98","-9,03","50,47"
149,285408883,"19,74","4,99","10,59","54,91",,158,285417523,"27,58","11,70","-16,61","51,51"
150,285409843,"29,85","5,30","0,74","54,96",,159,285418483,"13,65","11,37","-10,26","52,55"
151,285410803,"10,22","5,58","10,52","56,06",,160,285419443,"17,84","10,79","-8,10","50,07"
152,285411763,"19,57","5,26","10,95","56,06",,161,285420403,"0,11","11,36","11,79","51,33"
153,285412723,"21,00","4,99","9,95","54,90",,162,285421363,"46,87","12,33","-15,08","51,40"
154,285413683,"29,18","5,25","0,76","55,98",,163,285422323,"0,30","12,79","4,62","52,54"
155,285414643,"10,15","5,54","10,61","55,99",,164,285423283,"5,83","12,88","18,79","53,71"
156,285415603,"19,95","5,20","10,66","56,04",,165,285424243,"33,21","12,90","5,58","52,53"
157,285416563,"20,75","4,92","9,92","56,09",,166,285425203,"30,98","12,78","-5,41","52,47"
158,285417523,"28,68","5,15","1,24","54,84",,167,285426163,"0,00","13,23","14,59","53,60"
159,285418483,"11,19","5,38","10,04","55,88",,169,285428083,"65,00","13,97","-10,41","50,18"
160,285419443,"20,20","5,06","9,84","55,80",,171,285430003,"37,13","13,27","-7,54","50,22"
161,285420403,"20,42","4,77","9,42","54,66",,172,285430963,"1,23","13,62","11,23","51,29"
162,285421363,"29,42","5,06","0,00","54,73",,173,285431923,"38,87","13,94","-7,64","49,21"
163,285422323,"9,77","5,38","10,24","55,87",,174,285432883,"1,65","14,22","10,71","50,37"
164,285423283,"20,56","5,08","9,68","55,90",,175,285433843,"25,54","13,68","5,17","51,42"
165,285424243,"19,78","4,78","9,89","54,67",,176,285434803,"39,28","14,03","-14,10","49,36"
166,285425203,"19,87","4,49","10,02","55,80",,177,285435763,"15,08","13,46","-9,18","50,40"
167,285426163,"19,78","4,22","10,24","55,78",,178,285436723,"20,72","12,66","-9,90","50,48"
168,285427123,"20,03","3,96","10,21","55,85",,179,285437683,"0,00","13,12","10,10","51,51"
169,285428083,"21,27","3,79","8,95","54,68",,180,285438643,"28,77","12,85","1,33","51,69"
170,285429043,"18,97","3,62","9,97","54,64",,181,285439603,"14,61","12,38","6,72","52,92"
171,285430003,"19,57","3,42","10,41","55,79",,182,285440563,"35,04","12,55","-8,32","51,93"
172,285430963,"20,48","3,23","9,92","55,72",,184,285442483,"14,94","13,33","16,74","50,83"
173,285431923,"19,98","3,03","9,94","54,69",,185,285443443,"40,55","13,78","-3,81","49,71"
174,285432883,"20,67","2,89","9,27","54,80",,186,285444403,"10,70","13,50","5,49","50,85"
175,285433843,"18,46","2,80","10,81","55,85",,187,285445363,"37,13","13,73","-11,65","50,78"
176,285434803,"20,04","2,63","10,77","55,82",,188,285446323,"16,26","13,10","-7,90","50,90"
177,285435763,"20,90","2,52","9,88","54,83",,189,285447283,"4,59","13,25","7,50","50,94"
178,285436723,"19,92","2,37","9,95","54,91",,190,285448243,"36,46","13,45","-8,95","51,04"
179,285437683,"20,52","2,25","9,43","55,94",,191,285449203,"20,24","12,62","-9,20","51,13"
180,285438643,"18,25","2,22","11,19","56,12",,193,285451123,"16,27","13,32","14,53","51,08"
181,285439603,"20,91","2,14","10,28","55,22",,194,285452083,"41,01","13,80","-6,48","51,09"
182,285440563,"19,52","2,04","10,77","55,22",,195,285453043,"13,34","13,35","0,18","52,03"
183,285441523,"20,07","1,91","10,70","56,30",,196,285454003,"26,68","12,93","-6,50","52,05"
184,285442483,"20,95","1,85","9,75","56,34",,197,285454963,"26,70","12,55","-13,19","50,94"
185,285443443,"19,95","1,74","9,80","55,22",,198,285455923,"14,83","12,08","-8,02","51,94"
186,285444403,"20,31","1,65","9,48","55,18",,199,285456883,"0,24","12,56","11,73","53,01"
187,285445363,"23,10","1,74","6,39","55,11",,200,285457843,"17,71","11,92","14,03","51,96"
188,285446323,"15,60","1,91","10,79","56,25",,201,285458803,"46,26","12,82","-12,23","49,67"
189,285447283,"21,03","1,85","9,76","55,28",,203,285460723,"37,16","12,19","-9,39","49,68"
190,285448243,"18,79","1,81","10,97","56,43",,204,285461683,"19,46","11,47","-8,85","50,70"
191,285449203,"21,11","1,77","9,86","55,46",,205,285462643,"34,38","11,65","-23,23","49,56"
192,285450163,"19,92","1,66","9,94","56,58",,206,285463603,"0,00","12,17","-3,23","50,61"
193,285451123,"20,68","1,60","9,26","55,53",,207,285464563,"27,27","11,86","-10,50","49,22"
194,285452083,"19,50","1,53","9,77","56,59",,208,285465523,"12,32","11,60","-2,82","50,33"
195,285453043,"19,39","1,47","10,37","55,39",,209,285466483,"25,49","11,22","-8,31","50,31"
196,285454003,"19,32","1,43","11,05","56,50",,210,285467443,"11,13","11,07","0,56","50,34"
197,285454963,"21,16","1,41","9,89","55,39",,211,285468403,"32,59","11,17","-12,04","48,96"
198,285455923,"19,70","1,34","10,19","55,39",,212,285469363,"16,36","10,70","-8,40","49,92"
199,285456883,"19,86","1,26","10,33","55,39",,213,285470323,"22,41","10,18","-10,81","47,34"
200,285457843,"19,49","1,22","10,84","56,41",,214,285471283,"0,00","10,79","9,19","48,29"
201,285458803,"20,45","1,17","10,39","55,18",,215,285472243,"36,14","11,13","-6,95","48,11"
202,285459763,"19,56","1,12","10,83","55,08",,216,285473203,"22,93","10,62","-9,88","46,92"
