Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps),,Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
405,285654643,"19,70","0,80","10,97","58,61",,428,285676723,"0,02","14,43","5,88","55,00"
406,285655603,"20,76","0,79","10,21","57,25",,429,285677683,"20,37","13,55","5,51","56,10"
407,285656563,"19,95","0,75","10,26","57,26",,430,285678643,"41,30","14,04","-15,79","53,90"
408,285657523,"19,57","0,73","10,69","58,44",,431,285679603,"19,04","13,22","-14,83","55,10"
409,285658483,"20,57","0,72","10,11","58,36",,432,285680563,"20,97","12,46","-15,80","53,04"
410,285659443,"19,69","0,69","10,43","57,11",,433,285681523,"6,31","12,53","-2,11","54,24"
411,285660403,"20,64","0,69","9,79","57,09",,434,285682483,"8,83","12,45","9,06","54,29"
412,285661363,"19,27","0,69","10,52","58,28",,435,285683443,"36,69","12,71","-7,63","55,53"
413,285662323,"20,27","0,67","10,25","57,01",,436,285684403,"0,17","13,16","12,21","56,65"
414,285663283,"21,03","0,69","9,21","58,09",,437,285685363,"48,61","14,12","-16,41","55,50"
415,285664243,"18,75","0,72","10,47","58,02",,438,285686323,"3,69","14,26","-0,09","56,66"
416,285665203,"19,65","0,70","10,82","58,06",,439,285687283,"5,93","14,25","13,98","57,78"
417,285666163,"20,77","0,70","10,05","56,78",,440,285688243,"48,98","15,17","-15,00","55,39"
418,285667123,"19,87","0,67","10,19","58,02",,441,285689203,"30,46","14,87","-25,46","56,54"
419,285668083,"21,05","0,69","9,14","56,90",,442,285690163,"0,03","15,19","-5,49","57,63"
420,285669043,"18,87","0,72","10,27","56,98",,443,285691123,"18,26","14,35","-3,75","55,37"
421,285670003,"19,39","0,71","10,87","58,14",,444,285692083,"46,83","15,13","-30,59","55,42"
422,285670963,"20,45","0,70","10,42","57,14",,445,285693043,"5,96","15,06","-16,55","54,36"
423,285671923,"20,39","0,68","10,04","58,41",,446,285694003,"20,70","14,17","-17,25","55,49"
424,285672883,"21,78","0,75","8,26","57,28",,447,285694963,"5,53","14,19","-2,77","56,66"
425,285673843,"18,21","0,81","10,04","57,32",,448,285695923,"18,51","13,39","-1,28","56,74"
426,285674803,"19,84","0,77","10,20","58,43",,449,285696883,"54,65","14,72","-35,93","54,52"
427,285675763,"20,20","0,74","10,00","57,32",,450,285697843,"0,00","15,05","-15,93","55,65"
428,285676723,"19,80","0,70","10,20","58,46",,451,285698803,"0,00","15,36","4,07","56,90"
429,285677683,"21,01","0,72","9,19","58,45",,452,285699763,"12,51","14,87","11,56","58,22"
430,285678643,"19,15","0,73","10,04","58,48",,453,285700723,"46,87","15,62","-15,31","54,90"
431,285679603,"20,12","0,69","9,92","57,46",,454,285701683,"36,68","15,68","-31,99","55,00"
432,285680563,"19,80","0,66","10,12","57,62",,455,285702643,"0,01","15,95","-12,00","56,18"
433,285681523,"30,65","1,29","-0,54","57,70",,457,285704563,"42,66","15,12","-14,66","55,15"
434,285682483,"9,94","1,83","9,53","57,75",,458,285705523,"21,91","14,30","-16,58","55,19"
435,285683443,"9,48","2,38","20,05","58,99",,459,285706483,"14,60","13,74","-11,18","56,31"
436,285684403,"30,29","2,87","9,76","57,85",,460,285707443,"21,95","13,00","-13,13","57,41"
437,285685363,"30,43","3,34","-0,67","57,82",,462,285709363,"59,39","13,40","-32,51","53,95"
438,285686323,"9,79","3,77","9,54","57,80",,463,285710323,"0,01","13,81","-12,52","55,05"
439,285687283,"21,09","3,61","8,45","57,79",,464,285711283,"10,75","13,53","-3,27","56,18"
440,285688243,"28,46","3,91","-0,01","57,71",,465,285712243,"3,19","13,73","13,54","57,33"
441,285689203,"19,80","3,68","0,18","57,72",,466,285713203,"58,00","15,25","-24,46","56,14"
442,285690163,"11,32","3,99","8,86","57,70",,467,285714163,"3,46","15,33","-7,92","57,30"
443,285691123,"18,56","3,83","10,30","57,69",,468,285715123,"23,98","14,62","-11,91","56,05"
444,285692083,"29,88","4,21","0,42","57,74",,469,285716083,"0,00","14,96","8,09","57,15"
445,285693043,"20,17","3,96","0,25","57,85",,470,285717043,"43,41","15,49","-15,32","55,86"
446,285694003,"21,54","3,80","-1,29","57,81",,471,285718003,"0,18","15,76","4,50","56,94"
447,285694963,"9,74","4,21","8,97","57,91",,472,285718963,"36,42","15,80","-11,92","55,66"
448,285695923,"18,82","4,02","10,16","57,95",,473,285719923,"19,55","14,84","-11,47","55,58"
449,285696883,"29,77","4,38","0,39","57,94",,474,285720883,"0,78","15,11","7,75","56,82"
450,285697843,"19,79","4,12","0,61","57,97",,475,285721843,"13,33","14,59","14,42","56,90"
451,285698803,"10,68","4,44","9,92","58,14",,477,285723763,"65,56","15,27","-11,14","55,80"
452,285699763,"21,06","4,23","8,86","58,36",,479,285725683,"32,65","14,78","-3,79","53,55"
453,285700723,"28,57","4,50","0,29","58,40",,480,285726643,"30,83","14,53","-14,62","54,62"
454,285701683,"19,56","4,25","0,74","58,44",,481,285727603,"1,22","14,80","4,16","54,54"
455,285702643,"10,82","4,56","9,92","58,50",,482,285728563,"61,63","16,47","-37,48","50,91"
456,285703603,"20,47","4,30","9,45","58,55",,483,285729523,"0,00","16,69","-17,48","52,10"
457,285704563,"28,41","4,56","1,04","58,58",,484,285730483,"10,04","16,27","-7,52","53,34"
458,285705523,"21,18","4,35","-0,14","58,60",,485,285731443,"10,14","15,87","2,34","54,48"
459,285706483,"9,75","4,72","10,11","58,56",,486,285732403,"47,85","16,62","-25,50","53,32"
460,285707443,"20,01","4,42","10,10","58,54",,487,285733363,"0,00","16,83","-5,51","54,48"
461,285708403,"20,57","4,18","9,52","58,50",,488,285734323,"23,58","16,00","-9,09","52,26"
462,285709363,"29,04","4,49","0,49","58,41",,489,285735283,"35,45","15,97","-24,54","53,45"
463,285710323,"10,72","4,79","9,77","58,41",,490,285736243,"19,66","14,99","-24,20","53,55"
464,285711283,"19,46","4,52","10,31","59,54",,491,285737203,"0,17","15,29","-4,37","54,70"
465,285712243,"19,60","4,26","10,71","59,61",,493,285739123,"53,22","15,16","-17,59","52,42"
466,285713203,"30,18","4,63","0,54","58,42",,494,285740083,"1,64","15,36","0,78","53,58"
467,285714163,"9,99","4,97","10,54","59,58",,495,285741043,"9,88","15,04","10,90","54,74"
468,285715123,"19,63","4,68","10,91","59,58",,496,285742003,"51,38","16,06","-20,47","52,35"
469,285716083,"22,09","4,52","8,82","58,26",,498,285743923,"15,71","16,57","3,82","52,22"
470,285717043,"28,07","4,74","0,75","58,14",,499,285744883,"4,97","16,48","18,85","53,40"
471,285718003,"10,25","5,05","10,50","58,06",,500,285745843,"58,35","17,84","-19,51","49,96"
472,285718963,"20,53","4,77","9,97","57,94",,501,285746803,"15,64","17,00","-15,15","49,77"
473,285719923,"20,14","4,48","9,82","57,86",,502,285747763,"0,04","17,19","4,81","50,89"
474,285720883,"30,49","4,86","-0,66","57,94",,503,285748723,"50,93","18,04","-26,12","50,81"
475,285721843,"10,76","5,13","8,58","58,02",,504,285749683,"0,00","18,17","-6,12","51,93"
476,285722803,"17,65","4,96","10,93","59,28",,505,285750643,"17,98","17,16","-4,10","53,00"
477,285723763,"21,28","4,73","9,64","58,23",,506,285751603,"36,50","17,12","-20,60","51,74"
478,285724723,"28,92","4,99","0,72","58,33",,507,285752563,"0,00","17,30","-0,60","52,82"
479,285725683,"10,87","5,25","9,85","59,43",,508,285753523,"23,71","16,45","-4,32","52,66"
480,285726643,"20,31","4,94","9,54","58,19",,509,285754483,"0,13","16,66","15,55","53,86"
481,285727603,"18,78","4,71","10,76","59,31",,510,285755443,"49,97","17,49","-14,41","51,64"
482,285728563,"30,63","5,08","0,12","58,07",,511,285756403,"0,94","17,59","4,65","52,78"
483,285729523,"9,34","5,43","10,79","59,26",,512,285757363,"16,39","16,72","8,26","53,89"
484,285730483,"21,25","5,17","9,54","59,30",,513,285758323,"36,10","16,68","-7,85","55,03"
485,285731443,"18,58","4,93","10,95","58,02",,514,285759283,"35,07","16,58","-22,92","51,70"
486,285732403,"30,04","5,25","0,91","58,10",,515,285760243,"7,69","16,31","-10,61","52,82"
487,285733363,"10,42","5,52","10,49","59,26",,516,285761203,"11,69","15,81","-2,29","53,93"
488,285734323,"20,44","5,20","10,05","59,31",,517,285762163,"20,32","14,84","-2,61","54,98"
489,285735283,"19,83","4,89","10,22","59,34",,518,285763123,"1,60","15,07","15,79","55,97"
490,285736243,"31,69","5,31","-1,47","58,33",,519,285764083,"53,38","16,21","-17,60","52,42"
491,285737203,"8,20","5,72","10,33","59,48",,520,285765043,"0,00","16,45","2,40","53,47"
492,285738163,"20,71","5,41","9,62","59,44",,521,285766003,"6,72","16,25","15,69","54,49"
493,285739123,"20,13","5,08","9,49","58,31",,522,285766963,"23,84","15,47","11,85","53,29"
494,285740083,"29,77","5,37","-0,28","58,27",,523,285767923,"30,72","15,18","1,13","53,44"
495,285741043,"9,59","5,68","10,13","59,42",,524,285768883,"8,92","14,92","12,20","54,58"
496,285742003,"20,22","5,34","9,92","59,37",,525,285769843,"29,31","14,57","2,89","51,98"
497,285742963,"21,33","5,09","8,59","58,14",,526,285770803,"39,51","14,88","-16,62","53,02"
498,285743923,"27,96","5,27","0,62","58,05",,527,285771763,"11,26","14,50","-7,88","54,09"
499,285744883,"10,40","5,54","10,23","59,22",,529,285773683,"22,82","14,66","9,30","54,14"
500,285745843,"19,57","5,22","10,66","59,31",,530,285774643,"40,15","15,01","-10,85","54,21"
501,285746803,"19,62","4,92","11,04","59,31",,531,285775603,"23,82","14,31","-14,67","53,17"
502,285747763,"26,28","5,01","4,75","57,86",,532,285776563,"28,39","13,94","-23,06","54,33"
503,285748723,"14,49","5,04","10,26","58,97",,533,285777523,"6,46","13,91","-9,51","55,56"
504,285749683,"19,65","4,74","10,61","58,90",,534,285778483,"3,90","14,05","6,59","56,76"
505,285750643,"20,52","4,48","10,10","58,74",,535,285779443,"34,93","14,10","-8,35","53,14"
506,285751603,"29,02","4,76","1,08","57,54",,536,285780403,"35,90","14,22","-24,25","54,38"
507,285752563,"9,97","5,09","11,11","58,62",,537,285781363,"0,00","14,58","-4,25","55,54"
508,285753523,"20,47","4,80","10,64","58,46",,538,285782323,"9,49","14,32","6,26","54,31"
509,285754483,"20,50","4,53","10,14","58,46",,539,285783283,"35,30","14,38","-9,04","54,34"
510,285755443,"29,97","4,87","0,17","57,44",,540,285784243,"21,93","13,61","-10,97","54,28"
511,285756403,"10,04","5,19","10,13","58,58",,541,285785203,"2,03","13,88","7,00","55,43"
512,285757363,"19,47","4,90","10,66","58,58",,542,285786163,"55,23","15,21","-28,23","54,22"
513,285758323,"20,91","4,65","9,75","57,53",,543,285787123,"2,97","15,33","-11,19","55,46"
514,285759283,"29,62","4,96","0,13","57,54",,544,285788083,"19,28","14,41","-10,47","53,28"
515,285760243,"8,82","5,35","11,32","58,65",,545,285789043,"16,88","13,71","-7,35","54,52"
516,285761203,"21,04","5,08","10,27","58,62",,546,285790003,"35,31","13,81","-22,66","54,58"
517,285762163,"19,61","4,79","10,66","58,50",,547,285790963,"3,64","13,97","-6,30","55,82"
518,285763123,"19,96","4,49","10,70","57,17",,548,285791923,"0,05","14,34","13,65","57,08"
519,285764083,"20,48","4,24","10,22","58,21",,549,285792883,"47,13","15,14","-13,48","56,14"
520,285765043,"19,32","4,02","10,90","58,16",,550,285793843,"15,12","14,50","-8,60","57,37"
521,285766003,"20,68","3,81","10,22","56,97",,551,285794803,"0,07","14,84","11,33","58,59"
522,285766963,"20,10","3,58","10,12","57,98",,553,285796723,"68,03","15,66","-16,70","56,35"
523,285767923,"19,65","3,38","10,47","58,13",,554,285797683,"10,88","15,26","-7,58","55,34"
524,285768883,"20,19","3,18","10,28","58,09",,555,285798643,"2,39","15,40","10,03","56,54"
525,285769843,"21,03","3,04","9,25","57,90",,556,285799603,"51,04","16,38","-21,01","54,49"
526,285770803,"18,96","2,92","10,29","56,46",,557,285800563,"0,50","16,58","-1,51","55,71"
527,285771763,"19,96","2,74","10,33","57,52",,558,285801523,"7,14","16,34","11,35","56,94"
528,285772723,"20,29","2,58","10,05","57,38",,559,285802483,"14,20","15,68","17,15","58,09"
529,285773683,"19,09","2,48","10,96","57,36",,560,285803443,"58,44","17,11","-21,30","54,63"
530,285774643,"21,31","2,41","9,65","57,43",,561,285804403,"0,08","17,28","-1,38","55,82"
531,285775603,"19,87","2,26","9,79","56,39",,562,285805363,"47,36","17,91","-28,74","54,73"
532,285776563,"19,37","2,16","10,41","57,55",,563,285806323,"2,57","17,88","-11,31","55,86"
533,285777523,"20,22","2,04","10,19","56,38",,564,285807283,"20,64","16,80","-11,96","57,05"
534,285778483,"29,92","2,53","0,27","56,34",,565,285808243,"0,22","16,99","7,82","58,26"
535,285779443,"11,29","2,92","8,98","56,37",,566,285809203,"56,59","18,22","-28,77","54,00"
536,285780403,"18,49","2,83","10,50","57,60",,567,285810163,"6,32","17,93","-15,09","55,18"
537,285781363,"19,56","2,68","10,94","57,56",,568,285811123,"6,07","17,68","-1,15","56,38"
538,285782323,"30,54","3,17","0,39","56,37",,569,285812083,"1,45","17,74","17,39","57,58"
539,285783283,"11,06","3,53","9,34","56,38",,570,285813043,"53,70","18,73","-16,31","55,69"
540,285784243,"19,05","3,37","10,28","57,50",,571,285814003,"0,00","18,81","3,69","56,84"
541,285785203,"19,68","3,18","10,60","57,43",,572,285814963,"31,33","18,35","-7,64","57,01"
542,285786163,"29,62","3,58","0,98","56,34",,573,285815923,"22,30","17,34","-9,94","55,81"
543,285787123,"10,11","3,98","10,88","57,58",,574,285816883,"21,02","16,32","-10,96","57,02"
544,285788083,"20,74","3,78","10,14","57,70",,575,285817843,"24,31","15,57","-15,27","57,19"
545,285789043,"20,07","3,54","10,07","56,63",,576,285818803,"35,37","15,56","-30,63","56,29"
546,285790003,"29,44","3,91","0,63","56,70",,577,285819763,"0,01","15,84","-10,64","57,50"
547,285790963,"10,53","4,26","10,10","57,94",,578,285820723,"21,19","14,92","-11,83","57,46"
548,285791923,"20,81","4,04","9,29","58,11",,579,285821683,"6,78","14,81","1,39","58,64"
549,285792883,"20,55","3,83","8,74","57,17",,580,285822643,"42,41","15,29","-21,03","58,65"
550,285793843,"18,99","3,65","9,75","57,20",,581,285823603,"0,00","15,58","-1,03","59,83"
551,285794803,"18,65","3,51","11,10","58,42",,582,285824563,"5,42","15,52","13,55","60,95"
552,285795763,"21,49","3,38","9,61","58,57",,583,285825523,"47,76","16,29","-14,21","57,33"
553,285796723,"20,20","3,18","9,41","57,54",,584,285826483,"13,14","15,70","-7,35","58,50"
554,285797683,"18,86","3,05","10,55","57,64",,585,285827443,"21,20","14,79","-8,55","58,60"
555,285798643,"19,79","2,88","10,76","58,85",,586,285828403,"38,09","15,00","-26,63","57,36"
556,285799603,"20,49","2,73","10,27","59,01",,587,285829363,"0,00","15,31","-6,63","58,52"
557,285800563,"19,53","2,59","10,75","58,02",,588,285830323,"0,00","15,60","13,37","59,65"
558,285801523,"20,59","2,46","10,16","58,14",,589,285831283,"20,07","14,63","13,29","59,58"
559,285802483,"21,92","2,43","8,24","58,07",,591,285833203,"48,49","14,25","4,80","57,18"
560,285803443,"17,98","2,40","10,26","59,26",,592,285834163,"55,41","15,57","-30,61","57,11"
561,285804403,"20,66","2,29","9,60","58,12",,593,285835123,"0,47","15,82","-11,08","58,27"
562,285805363,"18,86","2,22","10,74","59,29",,594,285836083,"0,00","16,08","8,92","59,42"
563,285806323,"20,23","2,10","10,51","59,31",,595,285837043,"18,93","15,14","9,99","59,28"
564,285807283,"20,14","1,97","10,37","59,35",,596,285838003,"53,75","16,30","-23,77","56,74"
565,285808243,"21,39","1,94","8,99","58,31",,597,285838963,"0,00","16,53","-3,77","57,82"
566,285809203,"19,16","1,87","9,83","58,34",,598,285839923,"1,43","16,66","14,81","58,99"
567,285810163,"19,88","1,76","9,95","58,46",,599,285840883,"45,02","17,18","-10,22","57,70"
568,285811123,"19,71","1,67","10,24","58,69",,600,285841843,"30,15","16,74","-20,36","55,10"
569,285812083,"20,89","1,62","9,35","58,85",,601,285842803,"0,00","16,95","-0,36","56,26"
570,285813043,"18,68","1,60","10,67","59,01",,602,285843763,"25,22","16,22","-5,58","57,41"
571,285814003,"19,89","1,51","10,78","60,16",,603,285844723,"34,32","16,10","-19,91","57,42"
572,285814963,"20,50","1,44","10,28","60,32",,604,285845683,"11,58","15,62","-11,49","56,19"
573,285815923,"19,95","1,36","10,33","59,26",,605,285846643,"21,10","14,71","-12,59","57,34"
574,285816883,"20,36","1,30","9,97","59,33",,606,285847603,"34,19","14,68","-26,78","56,02"
575,285817843,"21,20","1,29","8,77","59,50",,607,285848563,"1,04","14,94","-7,82","57,15"
576,285818803,"17,96","1,34","10,81","60,70",,608,285849523,"25,29","14,34","-13,11","55,91"
577,285819763,"20,99","1,31","9,83","59,81",,609,285850483,"17,86","13,58","-10,96","57,02"
578,285820723,"21,00","1,29","8,83","59,94",,610,285851443,"28,63","13,27","-19,60","58,10"
579,285821683,"19,06","1,27","9,77","59,91",,611,285852403,"10,19","13,05","-9,79","56,90"
580,285822643,"20,09","1,20","9,68","61,10",,612,285853363,"20,75","12,28","-10,53","58,09"
581,285823603,"20,29","1,14","9,39","59,95",,613,285854323,"21,52","11,61","-12,06","56,97"
582,285824563,"19,49","1,10","9,90","59,91",,614,285855283,"7,27","11,68","0,67","58,09"
583,285825523,"19,98","1,03","9,92","59,80",,615,285856243,"6,94","11,77","13,73","59,25"
584,285826483,"20,46","1,00","9,46","60,98",,617,285858163,"66,99","12,72","-13,26","56,86"
585,285827443,"18,73","1,02","10,73","61,04",,618,285859123,"11,11","12,48","-4,37","54,47"
586,285828403,"20,11","0,96","10,62","61,02",,619,285860083,"0,00","12,95","15,63","55,69"
587,285829363,"20,01","0,90","10,61","59,79",,620,285861043,"54,49","14,30","-18,86","54,61"
588,285830323,"19,79","0,86","10,82","60,92",,621,285862003,"0,00","14,65","1,14","55,78"
589,285831283,"20,60","0,84","10,22","60,86",,,,,,,
590,285832243,"19,65","0,81","10,57","60,78",,,,,,,
591,285833203,"19,88","0,77","10,69","60,73",,,,,,,
592,285834163,"20,65","0,76","10,03","60,67",,,,,,,
593,285835123,"19,95","0,72","10,09","59,42",,,,,,,
594,285836083,"20,07","0,68","10,02","59,36",,,,,,,
595,285837043,"19,98","0,63","10,05","59,22",,,,,,,
596,285838003,"20,42","0,62","9,63","60,33",,,,,,,
597,285838963,"18,81","0,66","10,81","60,21",,,,,,,
598,285839923,"20,38","0,64","10,43","60,14",,,,,,,
599,285840883,"22,36","0,75","8,07","58,81",,,,,,,
600,285841843,"17,68","0,85","10,39","59,94",,,,,,,
601,285842803,"20,62","0,83","9,76","58,65",,,,,,,
602,285843763,"19,35","0,82","10,41","59,80",,,,,,,
603,285844723,"19,85","0,78","10,56","59,74",,,,,,,
604,285845683,"20,44","0,76","10,12","58,52",,,,,,,
605,285846643,"20,92","0,77","9,21","58,46",,,,,,,
606,285847603,"19,17","0,77","10,04","58,36",,,,,,,
607,285848563,"20,78","0,77","9,26","58,27",,,,,,,
608,285849523,"19,93","0,73","9,33","58,18",,,,,,,
609,285850483,"19,97","0,68","9,36","59,28",,,,,,,
610,285851443,"18,49","0,73","10,87","59,22",,,,,,,
611,285852403,"21,13","0,76","9,74","59,21",,,,,,,
612,285853363,"19,62","0,74","10,12","58,04",,,,,,,
613,285854323,"19,76","0,70","10,36","58,09",,,,,,,
614,285855283,"19,81","0,67","10,55","59,21",,,,,,,
615,285856243,"21,27","0,71","9,28","59,18",,,,,,,
616,285857203,"18,67","0,75","10,61","59,12",,,,,,,
617,285858163,"30,60","1,36","0,00","57,95",,,,,,,
618,285859123,"20,30","1,30","-0,30","57,94",,,,,,,
619,285860083,"0,01","2,47","19,69","59,16",,,,,,,
620,285861043,"40,29","3,58","-0,60","58,03",,,,,,,
621,285862003,"9,97","3,98","9,43","58,05",,,,,,,
